lead_id,lead_time,first_response_time,response_time_mins,lead_source,sales_rep,ordered
LEAD_001990,2025-10-23 11:01:52.257503,2025-10-23 11:05:35.567055,3.7,Walk-in,Rep_12,0
LEAD_007388,2025-10-23 11:17:21.724588,2025-10-23 11:27:53.368058,10.5,Third Party Lead,Rep_11,0
LEAD_002241,2025-10-23 11:24:13.357558,2025-10-23 11:53:18.640100,29.1,Walk-in,Rep_03,0
LEAD_002841,2025-10-23 11:27:58.311670,2025-10-23 11:38:42.620683,10.7,Website Form,Rep_04,0
LEAD_000368,2025-10-23 11:35:14.545080,2025-10-23 11:49:34.360931,14.3,Third Party Lead,Rep_09,0
LEAD_008348,2025-10-23 11:37:19.857568,2025-10-23 11:47:06.949478,9.8,Dealer Referral,Rep_04,0
LEAD_010000,2025-10-23 11:55:31.891003,2025-10-23 12:10:18.459101,14.8,Website Form,Rep_09,0
LEAD_008738,2025-10-23 12:01:30.318360,2025-10-23 12:42:23.539462,40.9,Dealer Referral,Rep_09,1
LEAD_001421,2025-10-23 12:10:15.195121,2025-10-23 12:22:09.015718,11.9,Website Form,Rep_11,0
LEAD_004340,2025-10-23 12:18:56.151239,2025-10-23 12:36:22.554066,17.4,Website Form,Rep_10,0
LEAD_003119,2025-10-23 12:24:07.520286,2025-10-23 12:51:48.842393,27.7,Website Form,Rep_02,0
LEAD_009590,2025-10-23 12:36:34.463543,2025-10-23 12:46:14.142462,9.7,Walk-in,Rep_12,0
LEAD_005197,2025-10-23 12:40:40.403694,2025-10-23 12:55:31.736044,14.9,Walk-in,Rep_12,0
LEAD_000482,2025-10-23 12:42:28.158688,2025-10-23 14:54:24.489184,131.9,Walk-in,Rep_09,0
LEAD_004017,2025-10-23 12:51:16.175609,2025-10-23 13:19:03.396762,27.8,Third Party Lead,Rep_03,0
LEAD_003842,2025-10-23 12:55:45.897810,2025-10-23 13:17:48.411139,22.0,Dealer Referral,Rep_11,1
LEAD_004110,2025-10-23 13:10:22.116990,2025-10-23 13:15:04.061036,4.7,Phone Call,Rep_03,0
LEAD_009047,2025-10-23 13:16:05.813533,2025-10-23 17:29:37.959265,253.5,Website Form,Rep_01,0
LEAD_000417,2025-10-23 13:23:18.259411,2025-10-23 20:52:56.816501,449.6,Website Form,Rep_01,0
LEAD_003633,2025-10-23 13:28:41.296144,2025-10-23 14:25:55.275718,57.2,Phone Call,Rep_02,0
LEAD_006503,2025-10-23 13:35:36.232631,2025-10-23 13:50:44.998492,15.1,Phone Call,Rep_05,0
LEAD_006703,2025-10-23 13:37:20.756383,2025-10-23 15:18:49.781342,101.5,Website Form,Rep_08,0
LEAD_000514,2025-10-23 13:42:58.170442,2025-10-23 14:15:45.348549,32.8,Third Party Lead,Rep_11,0
LEAD_001995,2025-10-23 13:43:18.581264,2025-10-23 14:29:12.850576,45.9,Walk-in,Rep_01,0
LEAD_009020,2025-10-23 14:01:09.264987,2025-10-23 15:20:05.930542,78.9,Walk-in,Rep_06,0
LEAD_007623,2025-10-23 14:02:12.915753,2025-10-23 14:04:45.432931,2.5,Website Form,Rep_03,0
LEAD_004576,2025-10-23 14:02:48.110929,2025-10-23 14:28:56.775487,26.1,Website Form,Rep_12,0
LEAD_008172,2025-10-23 14:04:27.960952,2025-10-23 14:28:04.220050,23.6,Third Party Lead,Rep_08,0
LEAD_003519,2025-10-23 14:20:10.884702,2025-10-23 15:38:51.424470,78.7,Dealer Referral,Rep_12,0
LEAD_009115,2025-10-23 14:23:52.667757,2025-10-23 14:55:30.708490,31.6,Website Form,Rep_01,0
LEAD_002028,2025-10-23 14:46:27.626532,2025-10-23 16:12:25.329286,86.0,Third Party Lead,Rep_05,0
LEAD_000045,2025-10-23 15:13:04.133189,2025-10-23 17:31:41.458315,138.6,Website Form,Rep_03,0
LEAD_006195,2025-10-23 15:25:45.888893,2025-10-23 16:04:44.786437,39.0,Walk-in,Rep_11,1
LEAD_002974,2025-10-23 15:26:41.238390,2025-10-23 15:53:32.137868,26.8,Walk-in,Rep_02,1
LEAD_003547,2025-10-23 15:38:43.466748,2025-10-23 15:49:18.753876,10.6,Dealer Referral,Rep_08,0
LEAD_007200,2025-10-23 15:40:29.476832,2025-10-23 15:44:01.188903,3.5,Third Party Lead,Rep_05,0
LEAD_003846,2025-10-23 15:42:41.804680,2025-10-23 16:16:57.425576,34.3,Walk-in,Rep_10,0
LEAD_003064,2025-10-23 16:20:36.218791,2025-10-23 16:25:47.219012,5.2,Phone Call,Rep_03,0
LEAD_002967,2025-10-23 16:23:48.988697,2025-10-23 16:37:18.428369,13.5,Walk-in,Rep_04,1
LEAD_005470,2025-10-23 16:25:39.960605,2025-10-23 17:36:23.633061,70.7,Website Form,Rep_02,0
LEAD_007022,2025-10-23 16:30:35.312836,2025-10-23 16:41:50.900716,11.3,Third Party Lead,Rep_05,0
LEAD_003647,2025-10-23 16:33:20.604328,2025-10-23 18:08:17.456163,94.9,Phone Call,Rep_02,0
LEAD_002229,2025-10-23 16:45:52.418028,2025-10-23 17:08:10.649739,22.3,Website Form,Rep_11,0
LEAD_009121,2025-10-23 16:46:49.991351,2025-10-23 16:47:55.121124,1.1,Third Party Lead,Rep_07,0
LEAD_001300,2025-10-23 16:52:09.761581,2025-10-23 16:57:51.614027,5.7,Walk-in,Rep_10,0
LEAD_001285,2025-10-23 16:52:45.139223,2025-10-23 17:15:14.988089,22.5,Website Form,Rep_01,0
LEAD_008253,2025-10-23 17:03:27.405312,2025-10-23 17:15:06.711295,11.7,Dealer Referral,Rep_07,0
LEAD_007579,2025-10-23 17:07:02.552423,2025-10-23 17:25:54.153207,18.9,Third Party Lead,Rep_10,0
LEAD_007864,2025-10-23 17:09:33.264614,2025-10-23 17:13:05.297691,3.5,Phone Call,Rep_02,1
LEAD_006339,2025-10-23 17:12:05.385371,2025-10-23 17:29:38.960508,17.6,Phone Call,Rep_08,0
LEAD_004022,2025-10-23 17:13:48.695572,2025-10-23 17:23:05.322602,9.3,Website Form,Rep_11,0
LEAD_000791,2025-10-23 17:15:21.449945,2025-10-23 17:22:28.202038,7.1,Website Form,Rep_12,0
LEAD_001827,2025-10-23 17:15:56.980383,2025-10-23 21:46:31.360023,270.6,Dealer Referral,Rep_03,0
LEAD_002681,2025-10-23 17:24:53.419329,2025-10-23 20:24:54.497309,180.0,Website Form,Rep_07,0
LEAD_006421,2025-10-23 17:25:27.725577,2025-10-23 17:44:45.781716,19.3,Third Party Lead,Rep_02,0
LEAD_006387,2025-10-23 17:39:30.451591,2025-10-23 17:58:48.948263,19.3,Phone Call,Rep_03,0
LEAD_005968,2025-10-23 18:08:42.948752,2025-10-23 18:43:56.463417,35.2,Dealer Referral,Rep_10,0
LEAD_008982,2025-10-23 18:13:55.253178,2025-10-23 18:26:17.809453,12.4,Phone Call,Rep_08,1
LEAD_005613,2025-10-23 18:35:49.195799,2025-10-23 19:06:57.047835,31.1,Third Party Lead,Rep_02,0
LEAD_004200,2025-10-23 18:36:22.227843,2025-10-23 19:10:00.046151,33.6,Phone Call,Rep_06,0
LEAD_005106,2025-10-23 18:49:20.292638,2025-10-23 19:20:58.222135,31.6,Website Form,Rep_08,0
LEAD_000302,2025-10-23 18:56:39.034529,2025-10-23 19:46:21.229636,49.7,Phone Call,Rep_08,0
LEAD_008841,2025-10-23 19:04:47.485912,2025-10-23 19:08:01.382811,3.2,Phone Call,Rep_06,0
LEAD_002813,2025-10-23 19:16:15.842892,2025-10-23 20:36:06.270422,79.8,Walk-in,Rep_10,1
LEAD_000409,2025-10-23 19:19:42.869798,2025-10-23 20:22:00.135667,62.3,Third Party Lead,Rep_12,0
LEAD_003174,2025-10-23 19:35:22.574513,2025-10-23 19:38:34.468208,3.2,Website Form,Rep_03,0
LEAD_003293,2025-10-23 19:36:42.809900,2025-10-23 19:45:04.565680,8.4,Website Form,Rep_10,0
LEAD_000749,2025-10-23 19:45:22.428670,2025-10-23 20:04:57.449803,19.6,Third Party Lead,Rep_09,0
LEAD_005314,2025-10-23 19:45:58.716941,2025-10-23 19:59:13.726678,13.3,Third Party Lead,Rep_11,0
LEAD_004926,2025-10-23 20:11:04.901755,2025-10-23 20:29:26.111625,18.4,Website Form,Rep_09,0
